VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,RefuelStops,RefuelAmounts,TollsVisited,TollCosts,VehicleWeights,Distance,Time,FuelCost,TollCost,TotalCost
CAMO01,80.0,200.0,PEA1-D1-PEA1-C1-S0-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,200.0,0,0.0,2,22000.0-25000.0,0.0-0.0,1399.6940970433966,83981.6458226038,0.0,47000.0,23256922.010920383
CAMO02,60.0,180.0,PEA1-D1-S11-PEA2-C2-S1-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,180.0,0,0.0,2,25000.0-20000.0,0.0,1430.9829708480631,85858.97825088378,0.0,45000.0,23774317.31607785
CAMO03,50.0,180.0,PEA1-D1-S10-PEA3-C3-S2-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,180.0,1,0.4066867872144211,2,25000.0-18000.0,0.0,1900.7781606807216,114046.6896408433,6222.307844380643,43000.0,31577139.77514436
CAMO04,40.0,120.0,PEA1-D1-S9-C4-S5-C7-PEA8-C8-PEA12-C12-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,16.560000000000002,120.0,2,0.8409326608999981,3,14000.0-18000.0-38248.0,0.0-0.0-0.0-0.0,2767.32031159881,179875.82025392263,13092.135756729534,70248.0,45982609.30829698
CAMO05,30.0,120.0,PEA1-D1-S8-PEA5-C5-S4-PEA9-C9-PEA13-C13-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,120.0,2,0.5136044598675779,4,12000.0-25000.0-15000.0-23000.0,0.0-0.0-0.0,2092.125414886629,135988.1519676309,7801.662845465093,75000.0,34787083.54996351
CAMO06,10.0,75.0,PEA1-D1-S7-PEA6-C6-S3-C10-PEA11-C11-PEA1-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,75.0,0,0.0,3,8000.0-25000.0-16000.0,0.0-0.0-0.0,1982.2934065899326,138760.53846129528,0.0,49000.0,32930070.549392883
