VehicleId,LoadCap,FuelCap,RouteSequence,Municipalities,DemandSatisfied,InitialLoad,InitialFuel,RefuelStops,RefuelAmounts,Distance,Time,FuelCost,TotalCost
CAMO01,80.0,200.0,D1-C5-C6-S11-S6-C3-C7-C1-C9-C13-S4-S10-C11-S7-D1,0,0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00-0.00,0.0,200.0,2,0.5758084702170723,3065.137475513138,183908.24853078826,8533.062867569613,50889815.156385645
CAMO02,60.0,180.0,D1-C4-S1-D1,0,0.00-0.00-0.00-0.00,0.0,180.0,0,0.0,206.0889218429882,12365.335310579292,0.0,3421076.1025936045
CAMO03,50.0,180.0,D1-C2-S9-C10-S5-D1,0,0.00-0.00-0.00-0.00-0.00-0.00,0.0,180.0,0,0.0,1426.8079687092663,85608.47812255599,0.0,23685012.280573823
CAMO04,40.0,120.0,D1-S0-C12-D1,0,0.00-0.00-0.00-0.00,0.0,120.0,0,0.0,11.842640497642435,769.7716323467582,0.0,196587.8322608644
CAMO05,30.0,120.0,D1-S2-C8-D1,0,0.00-0.00-0.00-0.00,28.799999999973807,120.0,0,0.0,145.2143526568958,9438.932922698228,0.0,2410558.2541044704
